Тест,Сетка,Кол-во ячеек,Кол-во ребер,Кол-во вершин,"Время обхода, сек",Найдено пар ячеек для коррекции,ESC,Разбиение,Ячеек в листе
19,small_sphere_double,160,240,84,0.033266305923461914,0,True,SAH,5
20,sphere_double,7680,11520,3844,2.337265968322754,0,True,SAH,5
21,bunny_double,9982,14976,4996,67.32458281517029,0,True,SAH,5
22,small_sphere_double,160,240,84,0.018312931060791016,0,True,SAH,1
23,sphere_double,7680,11520,3844,2.420200824737549,0,True,SAH,1
24,bunny_double,9982,14976,4996,68.14467716217041,0,True,SAH,1
1,small_sphere_double,160,240,84,0.029664993286132812,0,False,VAH,5
2,sphere_double,7680,11520,3844,8.911316871643066,0,False,VAH,5
3,bunny_double,9982,14976,4996,271.9604399204254,0,False,VAH,5
4,small_sphere_double,160,240,84,0.025454044342041016,0,False,VAH,1
5,sphere_double,7680,11520,3844,8.772854089736938,0,False,VAH,1
6,bunny_double,9982,14976,4996,213.31027603149414,0,False,VAH,1
7,small_sphere_double,160,240,84,0.03627204895019531,0,False,SAH,5
8,sphere_double,7680,11520,3844,2.3622241020202637,0,False,SAH,5
9,bunny_double,9982,14976,4996,67.43128490447998,0,False,SAH,5
13,small_sphere_double,160,240,84,0.02994394302368164,0,True,VAH,5
14,sphere_double,7680,11520,3844,9.070219039916992,0,True,VAH,5
15,bunny_double,9982,14976,4996,209.92958211898804,0,True,VAH,5
16,small_sphere_double,160,240,84,0.024741172790527344,0,True,VAH,1
17,sphere_double,7680,11520,3844,9.014402151107788,0,True,VAH,1
18,bunny_double,9982,14976,4996,209.75609612464905,0,True,VAH,1
10,small_sphere_double,160,240,84,0.018635988235473633,0,False,SAH,1
11,sphere_double,7680,11520,3844,2.36576509475708,0,False,SAH,1
12,bunny_double,9982,14976,4996,67.01342511177063,0,False,SAH,1
